,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,Labels,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,negative,neutral,positive,tweet_id
129463,1.35836E+18,1.35836E+18,2021-02-07 12:37:28 GTB,2021-02-07,12:37:28,300,1.27289E+18,jjthistle1,JJ’s Dungeon 💎 VRA 💎,,0,"DONT BE A DILDO!!!  I have missed out of 2 x 30% pumps recently through impatience with my coin.  $ equivalent of 2k   Don’t chase the big climax, enjoy the mini pumps and you will get the big rewards.  $btc $zil $utk $xlm $ocean",en,[],[],[],1,1,3,[],"['btc', 'zil', 'utk', 'xlm', 'ocean']",https://twitter.com/jjthistle1/status/1358364246527139840,FALSE,,0,,,,,,,,[],,,,,0.41328853,0.43264753,0.15406391,1.35836E+18
43368,1.48017E+18,1.48017E+18,2022-01-09 15:33:31 GTB,2022-01-09,15:33:31,300,1.21414E+18,the_3xprocess,Mike⚛️,,0,Video walk-through of LUNAomics 2022 Investment Strategy. $LUNA $UST  $Luna $MIR $ANC $UST $BTC $RUNE $ATOM  $OCEAN $cake $shib $BNB $AXS $MATIC $LINK $MINE $EGLD $ENJ $AAVE $Lota $SPEC $AVAX $ETH $FLOKI  $CAKE $EGLD,en,[],[],[],0,0,1,[],"['luna', 'ust', 'luna', 'mir', 'anc', 'ust', 'btc', 'rune', 'atom', 'ocean', 'cake', 'shib', 'bnb', 'axs', 'matic', 'link', 'mine', 'egld', 'enj', 'aave', 'lota', 'spec', 'avax', 'eth', 'floki', 'cake', 'egld']",https://twitter.com/The_3XProcess/status/1480170876779778048,FALSE,https://twitter.com/rebel_defi/status/1479966899236745227,0,,,,,,,,[],,,,,0.03164781,0.9079974,0.06035475,1.48017E+18
74031,1.41067E+18,1.41067E+18,2021-07-01 21:47:36 GTB (heure d’été),2021-07-01,21:47:36,300,1.08455E+18,kriptoemrah,Kripto Emrah,,-,Piyasa Değeri 200 Milyon Doların Altındaki En Umut Verici 15 Proje 📊  $OGN $BAND $FRAX $REEF $PROM $OCEAN $INJ $XVS $AUDIO $SNT $SAND $ARTH $ORN $POLY $CTSI  Data @GCryptoBen  https://t.co/YRtvDUO8F7,tr,"[{'screen_name': 'gcryptoben', 'name': 'ben gcrypto', 'id': '1365654402334400512'}]",[],['https://pbs.twimg.com/media/E5O2NLeXIAMZQ0l.jpg'],1,3,17,[],"['ogn', 'band', 'frax', 'reef', 'prom', 'ocean', 'inj', 'xvs', 'audio', 'snt', 'sand', 'arth', 'orn', 'poly', 'ctsi']",https://twitter.com/kriptoemrah/status/1410671448151183363,FALSE,,1,https://pbs.twimg.com/media/E5O2NLeXIAMZQ0l.jpg,,,,,,,[],,,,,0.09322549,0.8625979,0.044176653,1.41067E+18
70564,1.41961E+18,1.41961E+18,2021-07-26 13:45:21 GTB (heure d’été),2021-07-26,13:45:21,300,1.37624E+18,manulele19,Manulele,,0,$ocean,qct,[],[],[],0,0,0,[],['ocean'],https://twitter.com/Manulele19/status/1419609779731845125,FALSE,https://twitter.com/oceanprotocol/status/1419598628390383621,0,,,,,,,,[],,,,,0.13466522,0.7053413,0.15999354,1.41961E+18
182515,1.30982E+18,1.30982E+18,2020-09-26 14:48:10 GTB (heure d’été),2020-09-26,14:48:10,300,575008003,pronewchaos,Saitoshi Nanomoto 🉐⚔️⚛️,,0,@coinbureau Oh geez what happened to KuCoin. I slept for 24 hours.  🤣🤣🤣🤣🤣 I have my $OCEAN in there. 🤣🤣🤣🤣🤣,en,[],[],[],0,1,2,[],['ocean'],https://twitter.com/pronewchaos/status/1309822064023359488,FALSE,,0,,,,,,,,"[{'screen_name': 'coinbureau', 'name': 'Coin Bureau', 'id': '906230721513181184'}]",,,,,0.60102,0.31814525,0.08083477,1.30982E+18
11891,1.55849E+18,1.5584E+18,2022-08-13 19:16:32 GTB (heure d’été),2022-08-13,19:16:32,300,1.28966E+18,el_capro,El_Capro,,1,"@cryptogems555 $NGM, $LINK, $CARD &amp; $OCEAN are some #100x picks you can check out!  @oceanprotocol platform enables data providers to seamlessly monetize data effectively, while protecting their privacy. They offer real-world adoption and effective uses cases for a cryptocurrency.   #Web3 #Data  https://t.co/N0huTgHVI6",en,"[{'screen_name': 'oceanprotocol', 'name': 'ocean protocol', 'id': '908581392061214720'}]",[],['https://pbs.twimg.com/media/FaDcRDDXkAY61-z.jpg'],0,0,5,"['100x', 'web3', 'data']","['ngm', 'link', 'card', 'ocean']",https://twitter.com/el_capro/status/1558487677997129728,FALSE,,1,https://pbs.twimg.com/media/FaDcRDDXkAY61-z.jpg,,,,,,,"[{'screen_name': 'cryptogems555', 'name': 'Crypto GEMs 📈🚀', 'id': '4473212565'}]",,,,,0.0015033991,0.08082488,0.91767174,1.55849E+18
199570,1.29933E+18,1.29933E+18,2020-08-28 16:10:40 GTB (heure d’été),2020-08-28,16:10:40,300,1.29421E+18,dragonslyer89,Slyer,,1,Wait on dump? No way I will buy on the current price I don't to miss the boat on $FYZ I will ride on it! 🔥🔥🔥 $OCEAN $COTI $TOKO,en,[],[],[],0,1,1,[],"['fyz', 'ocean', 'coti', 'toko']",https://twitter.com/Dragonslyer89/status/1299333581228052486,FALSE,https://twitter.com/aa88_bsb/status/1296793292613357568,0,,,,,,,,[],,,,,0.05353831,0.26095724,0.68550444,1.29933E+18
178162,1.31569E+18,1.31569E+18,2020-10-12 19:31:51 GTB (heure d’été),2020-10-12,19:31:51,300,4219839160,stov219,capo,,1,"So fucking excited... Thank you for your brilliant work on $OCEAN @trentmc0 @BrucePon, the future is bright! 🌊",en,"[{'screen_name': 'trentmc0', 'name': 'trent mcconaghy', 'id': '3081376528'}, {'screen_name': 'brucepon', 'name': 'bruce pon', 'id': '54634160'}]",[],[],0,2,19,[],['ocean'],https://twitter.com/stov219/status/1315691663029932038,FALSE,https://twitter.com/trentmc0/status/1315635877855592451,0,,,,,,,,[],,,,,0.0016736533,0.0044752266,0.99385107,1.31569E+18
161295,1.32913E+18,1.32913E+18,2020-11-18 20:47:23 GTB,2020-11-18,20:47:23,300,9.48551E+17,dyorcryptobot,DYOR.net,,1,Some bullish indicators on 15m:  MACD Bullish Cross: $CELR $HIVE $QKC  Bullish Candlestick Pattern: $TRX $BAL $ANT $PAXG $KSM $DASH $OGN $NEO $CND $PNT  RSI Bull Div: $OCEAN $ADX $LINK   Become a  https://t.co/vMSA8RwQ1G member and get access to all coin analysis!,en,[],['http://DYOR.net'],[],1,1,0,[],"['celr', 'hive', 'qkc', 'trx', 'bal', 'ant', 'paxg', 'ksm', 'dash', 'ogn', 'neo', 'cnd', 'pnt', 'ocean', 'adx', 'link']",https://twitter.com/DYORCryptoBot/status/1329134121550032899,FALSE,,0,,,,,,,,[],,,,,0.0040232562,0.3150427,0.680934,1.32913E+18
153129,1.33628E+18,1.33628E+18,2020-12-08 14:17:08 GTB,2020-12-08,14:17:08,300,1.30286E+18,cryptoc94914588,Crypto_Cat 😸,,0,Good moment to buy $UNFI 🚀🚀🚀🚀 🤑💰💯 Preparing for a new launch!    #alt #cryptotrading  #cryptocurrency #altcoin #altcoins #crypto #altseason2020 $ocean #chainlink #CryptoNews #Bitcoin             #Ethereum #wavesbtc #waves #btc           $link $waves $INJ $waves $xem #gem  https://t.co/E8ChbkxLs9,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/Eotu6UUXcAECKzh.jpg'],0,0,4,"['alt', 'cryptotrading', 'cryptocurrency', 'altcoin', 'altcoins', 'crypto', 'altseason2020', 'chainlink', 'cryptonews', 'bitcoin', 'ethereum', 'wavesbtc', 'waves', 'btc', 'gem']","['unfi', 'ocean', 'link', 'waves', 'inj', 'waves', 'xem']",https://twitter.com/CryptoC94914588/status/1336283669670060032,FALSE,,1,https://pbs.twimg.com/tweet_video_thumb/Eotu6UUXcAECKzh.jpg,,,,,,,[],,,,,0.0014426424,0.090947,0.90761036,1.33628E+18
195771,1.30094E+18,1.30094E+18,2020-09-02 02:37:44 GTB (heure d’été),2020-09-02,02:37:44,300,9.37599E+17,nagatodharma,Nagatø,,1,"Also, thanks to everyone for the support. The feedback on the $Ocean Protocol article was amazing. Many people joined the group which is evolving into a great community.  I'll publish more reviews &amp; articles in September.  (Also more gems :D)  https://t.co/GpOXT8wyya",en,[],[],['https://pbs.twimg.com/media/Eg3esbIWsAArOWm.jpg'],0,0,4,[],['ocean'],https://twitter.com/NagatoDharma/status/1300940938446082051,FALSE,,1,https://pbs.twimg.com/media/Eg3esbIWsAArOWm.jpg,,,,,,,[],,,,,0.0010333715,0.010231326,0.98873526,1.30094E+18
13506,1.55519E+18,1.55505E+18,2022-08-04 17:08:21 GTB (heure d’été),2022-08-04,17:08:21,300,1.25592E+18,crypto_tzar,Last Crypto Tzar,,1,"@WazirXIndia #Altcoins are for creating wealth  Get in early and hold  Solid FA alts like $OCEAN, $ETH, $NEAR, $ATOM, are a must-have  $FLD is the latest altcoin gem on the horizon. The native utility token for @FLUID_liquidity, an AI-powered, cross-chain liquidity aggregator.  #DYOR #100xgem  https://t.co/LBs9WJyK3W",en,"[{'screen_name': 'fluid_liquidity', 'name': 'fluid', 'id': '1408355069787992065'}]",[],['https://pbs.twimg.com/media/FZUojAEXkAIWd0W.png'],0,0,0,"['altcoins', 'dyor', '100xgem']","['ocean', 'eth', 'near', 'atom', 'fld']",https://twitter.com/crypto_tzar/status/1555193927766102016,FALSE,,1,https://pbs.twimg.com/media/FZUojAEXkAIWd0W.png,,,,,,,"[{'screen_name': 'WazirXIndia', 'name': 'WazirX: India Ka Bitcoin Exchange', 'id': '955744720092835841'}]",,,,,0.0015709846,0.119027555,0.87940145,1.55519E+18
20752,1.53711E+18,1.53711E+18,2022-06-15 19:44:18 GTB (heure d’été),2022-06-15,19:44:18,300,1.09397E+18,marconi41128317,marconi,,-1,"@BrucePon  if you have any ace up your sleeve for ocean it would be good to use hehehehe, $ocean is getting lower every day, come on make an amazing call to ocean! or lend me 20k hahahahahahhaha",en,[],[],[],0,0,0,[],['ocean'],https://twitter.com/marconi41128317/status/1537113780106285056,FALSE,,0,,,,,,,,[],,,,,0.010969841,0.11859487,0.8704353,1.53711E+18
200348,1.29903E+18,1.29903E+18,2020-08-27 20:05:59 GTB (heure d’été),2020-08-27,20:05:59,300,8.41917E+17,omuhabbas,own muhabbas,,0,Martkist is a special sponsor of the #BITCONF Brazil  https://t.co/LdvhtJloCE from Sept 10 to the 13th $Martk #Martkist #socialmedia #Faucet #Binance #Bitcoin  https://t.co/uSGbuJSH7m #Cryptonews $band $eth $link $coti $doge $btc $defi $algo $dot $cro $ocean,en,[],"['https://bitconf.com.br/2020/', 'https://imgur.com/a/Xp9Ddvn']",[],0,0,0,"['bitconf', 'martkist', 'socialmedia', 'faucet', 'binance', 'bitcoin', 'cryptonews']","['martk', 'band', 'eth', 'link', 'coti', 'doge', 'btc', 'defi', 'algo', 'dot', 'cro', 'ocean']",https://twitter.com/OMuhabbas/status/1299030411541086208,FALSE,,0,,,,,,,,[],,,,,0.0063301604,0.82644045,0.1672294,1.29903E+18
27505,1.52245E+18,1.52245E+18,2022-05-06 08:50:00 GTB (heure d’été),2022-05-06,08:50:00,300,1.25875E+18,galaxylio,✠𝔻𝕖𝕒𝕥𝕙𝕤𝕡𝕖𝕝𝕝 𝕆𝕞𝕖𝕘𝕒 ✟,,1,$OCEAN ready to take off!,en,[],[],[],0,0,1,[],['ocean'],https://twitter.com/GalaxyLio/status/1522453606267449344,FALSE,,0,,,,,,,,[],,,,,0.007206811,0.44727728,0.54551595,1.52245E+18
137060,1.352E+18,1.35179E+18,2021-01-20 23:18:00 GTB,2021-01-20,23:18:00,300,1.26023E+18,mrrhincodon,Rhincodon,,1,"@thebull_crypto Tbh you can have your pick of the litter, there are so many good projects out there and I guess it depends what you are after.  My suggestion for a coin with huge potential that will change the world in few years and bring big companies to #crypto is $OCEAN but DYOR😉",en,[],[],[],0,0,0,['crypto'],['ocean'],https://twitter.com/MrRhincodon/status/1352002460458516482,FALSE,,0,,,,,,,,"[{'screen_name': 'thebull_crypto', 'name': 'bull sayler', 'id': '956937200301588480'}]",,,,,0.0024336216,0.06296924,0.9345971,1.352E+18
182913,1.30927E+18,1.30921E+18,2020-09-25 02:13:10 GTB (heure d’été),2020-09-25,02:13:10,300,1.25423E+18,bloxywoxy1683,🙂Without freedom you have nothing,,1,@CCribz @TheCryptoLark Don't forget that DHL tweeted about how awesome $OCEAN is,en,[],[],[],1,0,3,[],['ocean'],https://twitter.com/Bloxywoxy1683/status/1309269675348553728,FALSE,,0,,,,,,,,"[{'screen_name': 'CCribz', 'name': 'CryptoCribz ⓣ', 'id': '1001108218783903744'}, {'screen_name': 'TheCryptoLark', 'name': 'Lark Davis', 'id': '30325257'}]",,,,,0.001751188,0.028542323,0.9697065,1.30927E+18
57039,1.45298E+18,1.45263E+18,2021-10-26 15:43:04 GTB (heure d’été),2021-10-26,15:43:04,300,1.33835E+18,brianri19225066,Brian,,1,"@CryptoWally2 @Sliced_Bread_v2 @investvoyager No worries.  To each there own. I understand conservative, trust me.  You help lots of people with your $ocean tweets.  Maybe some day you will see the benefit of @investvoyager. I’ll keep on following your awesome content about $ocean.",en,"[{'screen_name': 'investvoyager', 'name': 'voyager', 'id': '976124518065373184'}]",[],[],0,0,0,[],"['ocean', 'ocean']",https://twitter.com/BrianRi19225066/status/1452979089715912718,FALSE,,0,,,,,,,,"[{'screen_name': 'Cryptowally2', 'name': 'Wally', 'id': '1162286361933537281'}, {'screen_name': 'investvoyager', 'name': 'Voyager', 'id': '976124518065373184'}]",,,,,0.0027732814,0.04473942,0.9524873,1.45298E+18
58853,1.44761E+18,1.44761E+18,2021-10-11 20:04:16 GTB (heure d’été),2021-10-11,20:04:16,300,1.36021E+18,jonaskupper,Jona Salome K.,,1,"LAST CALL for $Ocean, $Algo and $Dot before close up to #Bitcoin and take-off 🚀🚀🚀  $etc $eth $dot $algo $ren $snx $icp $neo $ada $btc $xtz $xrp $grt $link $sol $doge $btc $luna $cirus $ocean $dmtr #AltCoinSeason #cryptocurrency",en,[],[],[],1,1,6,"['bitcoin', 'altcoinseason', 'cryptocurrency']","['ocean', 'algo', 'dot', 'etc', 'eth', 'dot', 'algo', 'ren', 'snx', 'icp', 'neo', 'ada', 'btc', 'xtz', 'xrp', 'grt', 'link', 'sol', 'doge', 'btc', 'luna', 'cirus', 'ocean', 'dmtr']",https://twitter.com/JonasKupper/status/1447609004298055681,FALSE,,0,,,,,,,,[],,,,,0.01125449,0.7827001,0.20604545,1.44761E+18
100785,1.37658E+18,1.37657E+18,2021-03-29 20:00:44 GTB (heure d’été),2021-03-29,20:00:44,300,1.35981E+18,spacetravelle20,spacetraveller ⚡🌍,,0,@CryptoWally2 I'm sure we'd have quite an inspiring philosophy discussion on such an amazing topic sir. they'll build a collective superintelligence though - so not just blind agents ;)  the $DOT parachain is simply awesome btw!  keep up the great work &amp; postings.   $OCEAN,en,[],[],[],0,0,0,[],"['dot', 'ocean']",https://twitter.com/spacetravelle20/status/1376580094009958406,FALSE,,0,,,,,,,,"[{'screen_name': 'Cryptowally2', 'name': 'Wally', 'id': '1162286361933537281'}]",,,,,0.0016852106,0.011664489,0.9866502,1.37658E+18
84925,1.39143E+18,1.39142E+18,2021-05-09 19:12:50 GTB (heure d’été),2021-05-09,19:12:50,300,1.07437E+18,ryansrambles,RyanRamblesRogs,,1,@cz_binance Ocean vibes next #waves $OCEAN,en,[],[],[],0,0,0,['waves'],['ocean'],https://twitter.com/RyansRambles/status/1391425939251372037,FALSE,,0,,,,,,,,"[{'screen_name': 'cz_binance', 'name': 'CZ 🔶 Binance', 'id': '902926941413453824'}]",,,,,0.0042793024,0.62923336,0.36648738,1.39143E+18
47369,1.47368E+18,1.47366E+18,2021-12-22 17:33:58 GTB,2021-12-22,17:33:58,300,9.43627E+17,daveonge,SlimJim,,1,@CryptoWally2 $OCEAN 💎🙌,und,[],[],[],0,0,6,[],['ocean'],https://twitter.com/DaveOnge/status/1473678205643075587,FALSE,,0,,,,,,,,"[{'screen_name': 'Cryptowally2', 'name': 'Wally', 'id': '1162286361933537281'}]",,,,,0.0062783365,0.4504582,0.54326344,1.47368E+18
54873,1.4562E+18,1.4562E+18,2021-11-04 12:18:25 GTB,2021-11-04,12:18:25,300,1.34686E+18,manioqu,Manioqu,,1,Again a nice call🔥🔥🔥 @Crypto_Scofield  $BTC $RUNE $UST $NANO $ZEN $BNT $ZB $ANT $NMR $XVG $CVT $RVN  $BCD $HOT $IOST $BOT $LUNA $GALA $LTC $XTZ $ATOM $HBAR $DOT $ALGO $XMR $STX $MINA $ONE $TRIBE $MASK $IQ $LIT $SKL $ATOM $HBAR $ONE $OCEAN $ADA $DOGE $XRP $DEFI $SC $DGB,en,"[{'screen_name': 'crypto_scofield', 'name': 'scofield', 'id': '1274101971809681408'}]",[],[],0,0,1,[],"['btc', 'rune', 'ust', 'nano', 'zen', 'bnt', 'zb', 'ant', 'nmr', 'xvg', 'cvt', 'rvn', 'bcd', 'hot', 'iost', 'bot', 'luna', 'gala', 'ltc', 'xtz', 'atom', 'hbar', 'dot', 'algo', 'xmr', 'stx', 'mina', 'one', 'tribe', 'mask', 'iq', 'lit', 'skl', 'atom', 'hbar', 'one', 'ocean', 'ada', 'doge', 'xrp', 'defi', 'sc', 'dgb']",https://twitter.com/manioqu/status/1456204176485146625,FALSE,https://twitter.com/Crypto_Scofield/status/1456164489817100289,0,,,,,,,,[],,,,,0.002105168,0.10032134,0.89757353,1.4562E+18
160725,1.32954E+18,1.32954E+18,2020-11-19 23:20:53 GTB,2020-11-19,23:20:53,300,2456557351,kappa31337,"Crypto Rags to Riches (🦍,🦍)",,0,100x Gem Countdown Timer: 5 Days  Follow to be one of the first to get this bomb  $sav3 $ORO $CORE $GDAO $SMARTCREDIT $DMST $UNI $kp3R $AXN $CFI $ILIQ $LINK $BTC $ETH $CRV $SUSHI $PRIA $ocean $xlm $rsr $snx $yfi $yfii $hnt $vet $matic $etc $rune $root,en,[],[],[],0,2,5,[],"['oro', 'core', 'gdao', 'dmst', 'uni', 'axn', 'cfi', 'iliq', 'link', 'btc', 'eth', 'crv', 'sushi', 'pria', 'ocean', 'xlm', 'rsr', 'snx', 'yfi', 'yfii', 'hnt', 'vet', 'matic', 'etc', 'rune', 'root']",https://twitter.com/Kappa31337/status/1329535141400625153,FALSE,,0,,,,,,,,[],,,,,0.03695369,0.79098135,0.1720649,1.32954E+18
80808,1.39649E+18,1.39649E+18,2021-05-23 18:42:24 GTB (heure d’été),2021-05-23,18:42:24,300,1.14121E+18,crypto3ot,CryptoBOT,,-1,$OCEAN ⛔️ Decreased 3.63% in 32.0 min(s) 💵 Price - 0.46510000 USDT ⏱️ [23 Apr] - 15:42:24 UTC #OCEAN #OCEANUSDT #CryptoBOT,ro,[],[],[],0,0,0,"['ocean', 'oceanusdt', 'cryptobot']",['ocean'],https://twitter.com/Crypto3OT/status/1396491712067948544,FALSE,,0,,,,,,,,[],,,,,0.24686153,0.6969972,0.05614121,1.39649E+18
215373,1.29003E+18,1.28989E+18,2020-08-03 00:00:34 GTB (heure d’été),2020-08-03,00:00:34,300,9.44575E+17,lordtuanjim,Jester 🌍,,1,@cryptonator1337 Look at $OCEAN as well. Very good resistance.,en,[],[],[],0,0,1,[],['ocean'],https://twitter.com/LordTuanJim/status/1290029749704613888,FALSE,,0,,,,,,,,"[{'screen_name': 'cryptonator1337', 'name': 'CR1337', 'id': '861889353869557762'}]",,,,,0.022482475,0.26987353,0.707644,1.29003E+18
116905,1.36698E+18,1.36698E+18,2021-03-03 07:07:29 GTB,2021-03-03,07:07:29,300,1.35578E+18,fatihcrypto1,fatihcrypto,,-,Dileyen kar realize edebilir. #oceanusdt $ocean  https://t.co/WoArcV1N66,tr,[],[],['https://pbs.twimg.com/media/Evh7tlRWgAIuAuF.jpg'],0,1,3,['oceanusdt'],['ocean'],https://twitter.com/fatihcrypto1/status/1366978515518816264,FALSE,https://twitter.com/fatihcrypto1/status/1366464526422585346,1,https://pbs.twimg.com/media/Evh7tlRWgAIuAuF.jpg,,,,,,,[],,,,,0.06464076,0.8695239,0.06583532,1.36698E+18
